id,pred,truth
1,10531.0556640625,10578.54
2,10581.6591796875,10553.66
3,10685.025390625,10669.63
4,10754.4228515625,10795.0
5,10633.3564453125,10606.330000000002
6,10629.2451171875,10669.14
7,10844.0634765625,10925.2
8,10997.5361328125,11052.0
9,11333.84765625,11301.200000000003
10,11327.611328125,11372.93
11,11515.8359375,11535.979999999998
12,11403.8349609375,11427.979999999998
13,11335.115234375,11428.84
14,11473.6064453125,11511.11
15,11331.1201171875,11321.86
16,11284.1083984375,11365.8
17,11521.98046875,11519.97
18,11686.603515625,11764.14
19,11873.38671875,11921.11
20,12747.9365234375,12802.67
21,12909.2578125,12983.26
22,12911.5908203125,12941.59
23,13132.3310546875,13122.73
24,13075.576171875,13039.09
25,13056.5546875,13066.73
26,13588.0634765625,13647.9
27,13267.9052734375,13274.73
28,13426.2353515625,13468.44
29,13499.5810546875,13562.13
30,13790.4267578125,13816.08
31,13807.443359375,13762.0
32,13554.6455078125,13563.72
33,14001.1083984375,14041.58
34,14078.4912109375,14160.59
35,15531.041015625,15605.04
36,15528.6181640625,15598.09
37,14782.1015625,14838.97
38,15360.11328125,15489.15
39,15351.2236328125,15332.04
40,15275.466796875,15313.65
41,15671.4462890625,15707.89
42,16253.1455078125,16300.0
43,16244.8134765625,16335.58
44,16006.1484375,16086.34
45,16022.2060546875,15975.49
46,16679.0,16724.62
47,17519.1328125,17680.63
48,17768.923828125,17785.95
49,17765.0,17825.47
50,18676.08984375,18687.65
51,18670.53125,18725.0
52,18304.6015625,18435.2
53,18380.787109375,18383.35
54,19087.029296875,19160.85
55,18748.021484375,18732.43
56,17098.98828125,17160.09
57,17042.775390625,17154.39
58,17726.14453125,17730.77
59,18158.15234375,18192.03
60,19491.16015625,19700.190000000002
61,18736.419921875,18771.43
62,18951.669921875,19226.55
63,19377.5078125,19448.4
64,18750.322265625,18673.76
65,18988.734375,19162.16
66,19267.0234375,19380.58
67,19124.94140625,19173.5
68,18245.24609375,18316.43
69,18351.6015625,18556.64
70,18148.19921875,18250.3
71,17996.275390625,18040.02
72,18609.05859375,18815.63
73,19014.88671875,19162.36
74,19111.1171875,19274.33
75,19295.73046875,19434.87
76,21054.30859375,21365.7
77,22749.26171875,22814.24
78,22909.5078125,23136.14
79,23579.5546875,23842.99
80,23434.94140625,23470.85
81,22686.466796875,22732.01
82,23452.025390625,23835.1
83,23179.01953125,23247.71
84,23407.63671875,23726.28
85,24443.91015625,24705.15
86,26136.95703125,26466.28
87,26449.693359375,26259.6
88,26681.41796875,27037.91
89,26959.7578125,27369.999999999996
90,28560.28515625,28881.3
91,28661.626953125,28992.79
92,29286.572265625,29402.64
93,31849.3671875,32216.53
94,33092.359375,33097.83
95,31238.654296875,32005.88
96,33199.39453125,34039.05
97,36134.76171875,36849.94
98,38497.60546875,39510.49
99,40041.90625,40667.07
100,39781.5703125,40239.06
101,37679.43359375,38173.73
102,34962.07421875,35455.58
103,33755.2265625,34035.02
104,36371.9765625,37393.49
105,38633.5859375,39134.35
106,36243.93359375,36756.57
107,35766.29296875,36000.0
108,35260.96875,35819.25
109,36003.453125,36616.95
110,35875.41796875,35917.62
111,34820.28125,35496.91
112,30950.671875,30818.180000000004
113,32148.53515625,32992.06
114,31936.330078125,32117.49
115,31887.86328125,32288.83
116,32315.6171875,32261.22
117,32055.638671875,32504.53
118,30169.697265625,30424.619999999995
119,32671.943359375,33484.87
120,34395.78125,34249.64
